Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,Roll Stdev,Pitch Stdev,Yaw Stdev,N Stdev,E Stdev,Alt Stdev,VN Stdev,VE Stdev,VD Stdev,
14.000000,-1.145525,1.895508,6.081382,0.275103,1.129362,-1.531278,1.800068,-0.425827,44.965863,-0.043674,0.117408,0.054351,12.000000,13.000000,38.000000,0.000000,-0.002956,0.001199,0.008290,-0.002223,-0.081139,9.819483,-0.000000,-1.803975,0.428110,-43.127394,0.461947,0.040382,0.032550,1.234260,-0.631558,0.018559,-0.114417,0.064358,0.108096,-0.016893,0.025337,0.048295,0.407649,0.339171,38.623379,1.607307,1.588844,0.266781,0.505315,0.366376,0.140292,
14.500000,-1.466815,2.423914,6.862982,0.308971,1.273535,-1.573708,1.793034,-0.420389,44.962707,-0.029299,0.119010,0.055623,13.000000,14.000000,38.000000,0.000000,-0.002515,0.001846,0.005961,-0.004296,-0.081221,9.819481,0.000000,-1.796664,0.423341,-26.701096,-0.036980,0.059598,0.073592,1.214440,0.171668,0.134448,-0.091336,0.085396,0.107350,-0.021375,0.029155,0.048756,0.412698,0.347737,34.348216,1.467060,1.463375,0.217285,0.443863,0.326662,0.126822,
15.000000,-1.826495,3.014282,7.651212,0.341598,1.413951,-1.577222,1.789200,-0.415661,44.958882,-0.070069,0.115816,0.050534,13.000000,14.000000,38.000000,0.000000,-0.002833,0.001872,0.005961,-0.004296,-0.081221,9.819479,0.000000,-1.792899,0.418668,-26.705252,0.005271,0.088224,0.078356,1.206455,0.209367,0.172364,-0.091169,0.085326,0.113953,-0.022213,0.024136,0.049215,0.417754,0.356098,34.348294,1.607856,1.580302,0.266606,0.500918,0.346744,0.140160,
15.500000,-2.223591,3.664738,8.418188,0.372983,1.550590,-1.522742,1.791148,-0.411662,44.955476,-0.057743,0.114708,0.053079,14.000000,15.000000,38.000000,0.000000,-0.003582,0.001907,0.007236,-0.003963,-0.081108,9.819476,-0.000000,-1.795635,0.414699,-25.334441,-0.212854,0.044689,0.025778,-0.409863,0.067762,0.066897,-0.103707,0.082196,0.112439,-0.021001,0.023396,0.048803,0.422657,0.364266,30.478836,1.467205,1.458847,0.217198,0.432837,0.312053,0.126740,
16.000000,-2.658001,4.374786,9.181570,0.403930,1.686895,-1.528487,1.788204,-0.407305,44.951932,-0.044562,0.113908,0.055623,14.000000,15.000000,38.000000,0.000000,-0.002704,0.001576,0.007236,-0.003963,-0.081108,9.819474,-0.000000,-1.791927,0.409995,-25.338571,-0.180742,0.068761,0.029989,-0.508355,0.096835,0.080742,-0.101808,0.082734,0.102809,-0.022787,0.027163,0.049282,0.427595,0.372255,30.478924,1.606047,1.571529,0.266467,0.478825,0.330484,0.140056,
16.500000,-3.129064,5.143073,9.934740,0.433724,1.819696,-1.499318,1.787842,-0.402746,44.948202,-0.055075,0.116464,0.053079,15.000000,16.000000,38.000000,0.000000,-0.003086,0.001957,0.008186,-0.003164,-0.081044,9.819471,-0.000000,-1.791852,0.405788,-30.476521,0.088716,0.117591,0.001932,-0.397422,-0.082884,0.013895,-0.109367,0.074627,0.111375,-0.026060,0.030655,0.049194,0.432367,0.380075,27.312895,1.464657,1.452176,0.217094,0.411306,0.300371,0.126603,
17.000000,-3.636392,5.968660,10.686307,0.462830,1.950962,-1.504373,1.783894,-0.398700,44.945042,-0.053395,0.118856,0.053079,15.000000,16.000000,38.000000,0.000000,-0.002958,0.001461,0.008186,-0.003164,-0.081044,9.819469,-0.000000,-1.787948,0.401231,-30.480833,0.128147,0.139974,0.006128,-0.343246,-0.017829,0.015808,-0.109031,0.075639,0.112760,-0.019770,0.026052,0.048098,0.437195,0.387739,27.312994,1.599060,1.560932,0.266285,0.447565,0.318428,0.139903,
17.500000,-4.179341,6.850242,11.437324,0.490888,2.079091,-1.501688,1.780959,-0.393934,44.941225,-0.054247,0.101946,0.055623,16.000000,17.000000,38.000000,0.000000,-0.003154,0.001325,0.007678,-0.002638,-0.081029,9.819466,-0.000000,-1.785208,0.396329,-27.919175,0.049214,0.023972,0.003187,-0.264205,-0.571869,0.001548,-0.103618,0.069799,0.108723,-0.019843,0.025848,0.048247,0.441852,0.395252,24.918110,1.462278,1.445828,0.216999,0.387648,0.291450,0.126513,
18.000000,-4.757269,7.786492,12.189803,0.517951,2.204458,-1.505759,1.777657,-0.389289,44.937662,-0.049955,0.119501,0.053079,16.000000,17.000000,38.000000,0.000000,-0.002874,0.001401,0.007678,-0.002638,-0.081029,9.819464,-0.000000,-1.781470,0.391681,-27.923483,0.083406,0.043220,0.007465,-0.231093,-0.554449,0.004136,-0.103196,0.071122,0.110187,-0.020915,0.025964,0.048578,0.446577,0.402627,24.918218,1.591828,1.551249,0.266134,0.417042,0.308568,0.139796,
18.500000,-5.369287,8.775692,12.931949,0.543777,2.325977,-1.476450,1.776961,-0.384319,44.933689,-0.074020,0.114919,0.047990,17.000000,18.000000,38.000000,0.000000,-0.003372,0.002012,0.008227,-0.002516,-0.080969,9.819461,-0.000001,-1.781338,0.387417,-31.783136,0.374509,0.150444,-0.021084,0.381688,-0.197006,-0.055199,-0.106666,0.070414,0.107564,-0.019300,0.026131,0.047356,0.451134,0.409868,23.118155,1.459757,1.439835,0.216925,0.364772,0.284000,0.126448,
