Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Baro Altitude,GPS posENU[0],GPS posENU[1],GPS posENU[2],Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,VN Stdev,VE Stdev,Accel Bias X Stdev,Accel Bias Y Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],onGround,movingDetection,
552.500000,-20.400665,-22.675488,0.101855,0.011194,0.005178,0.002260,13.120582,-5.488513,112.310641,0.001584,-5.173840,-23.182874,-21.018317,-6.064603,0.037399,-0.104046,551.000000,552.000000,1045.000000,209.000000,10.410156,-4.654236,0.001778,0.008660,-0.067382,9.914894,0.095378,-2.710470,0.834358,-13.753256,0.052760,-0.002677,0.023734,-0.656846,-0.686645,0.304813,-0.067405,-0.397770,0.037760,0.070409,-0.073940,-0.046847,0.075182,0.073790,0.000643,0.000645,0.028710,0.196663,-0.695287,-0.094477,0.011563,0.006139,1.000000,0.000000,
553.000000,-20.405382,-22.671293,0.101856,0.011393,0.005669,0.002392,13.122234,-5.484503,112.293359,-0.000326,-5.173840,-23.182874,-21.018317,-6.064603,0.040838,-0.093868,551.000000,552.000000,1048.000000,209.000000,10.267064,-4.667742,0.001778,0.008661,-0.067382,9.914893,0.095378,-2.855063,0.816786,-13.757676,0.171999,-0.008518,0.042247,-0.600793,-0.689803,0.321633,-0.038013,-0.360589,0.041186,0.081340,-0.079414,-0.076933,0.129732,0.127046,0.000643,0.000645,0.028710,0.196663,-0.695287,-0.094477,0.011563,0.006139,1.000000,0.000000,
553.500000,-20.410101,-22.667098,0.101856,0.011403,0.005701,0.002400,13.123883,-5.480599,112.276471,-0.000381,-5.293694,-23.339377,-21.151314,-5.131604,0.040234,-0.077328,552.000000,553.000000,1050.000000,210.000000,10.299775,-4.630823,0.001775,0.008626,-0.067345,9.915144,0.095629,-2.824062,0.849835,-13.751076,0.073993,-0.011579,0.022723,-0.654854,-0.693589,0.292566,0.066634,-0.094214,0.039924,0.054982,-0.067406,-0.070787,0.075182,0.073790,0.000643,0.000645,-0.099016,0.023092,0.266839,-0.078844,0.002671,0.002896,1.000000,0.000000,
554.000000,-20.414818,-22.662903,0.101855,0.011294,0.005442,0.002329,13.125464,-5.476895,112.260421,-0.000292,-5.293694,-23.339377,-21.151314,-5.131604,0.037203,-0.082417,552.000000,553.000000,1053.000000,210.000000,10.402269,-4.678439,0.001775,0.008626,-0.067346,9.915145,0.095630,-2.723142,0.798509,-13.755494,0.193031,-0.017280,0.040312,-0.587425,-0.701146,0.308621,-0.062419,-0.406313,0.037554,0.070045,-0.074210,-0.042325,0.129732,0.127046,0.000643,0.000645,-0.099016,0.023092,0.266839,-0.078844,0.002671,0.002896,1.000000,0.000000,
554.500000,-20.419537,-22.658708,0.101856,0.011190,0.005197,0.002261,13.127091,-5.472725,112.242593,0.001574,-5.234732,-23.407842,-21.195643,-5.807604,0.036349,-0.084962,553.000000,554.000000,1055.000000,211.000000,10.418000,-4.639607,0.001767,0.008589,-0.067307,9.915432,0.095917,-2.709087,0.833189,-13.749068,0.067996,-0.003032,0.031144,-0.652813,-0.701818,0.309301,-0.043192,-0.340885,0.036519,0.009794,-0.048948,-0.060540,0.075182,0.073790,0.000642,0.000644,-0.139179,-0.046629,-0.421590,-0.076842,0.014029,0.014295,1.000000,0.000000,
555.000000,-20.424255,-22.654512,0.101855,0.011391,0.005696,0.002395,13.128721,-5.468714,112.225345,-0.000317,-5.234732,-23.407842,-21.195643,-5.807604,0.040531,-0.093868,553.000000,554.000000,1058.000000,211.000000,10.276691,-4.653505,0.001767,0.008589,-0.067307,9.915432,0.095916,-2.851934,0.815242,-13.753512,0.187541,-0.009061,0.049432,-0.589211,-0.705146,0.329802,-0.037669,-0.360278,0.040874,0.077481,-0.076589,-0.075834,0.129732,0.127046,0.000642,0.000644,-0.139179,-0.046629,-0.421590,-0.076842,0.014029,0.014295,1.000000,0.000000,
555.500000,-20.428971,-22.650317,0.101855,0.011388,0.005695,0.002394,13.130427,-5.464711,112.208003,-0.000384,-5.261377,-23.349155,-21.228891,-5.900604,0.040665,-0.102774,554.000000,555.000000,1060.000000,212.000000,10.310150,-4.616193,0.001756,0.008554,-0.067261,9.915731,0.096215,-2.820208,0.848564,-13.746685,0.065048,0.031512,0.010417,-0.656745,-0.690479,0.318248,0.007627,-0.232604,0.040314,0.062113,-0.069430,-0.097817,0.075182,0.073790,0.000642,0.000644,-0.164407,0.010470,-0.494697,-0.090348,0.052919,-0.017806,1.000000,0.000000,
556.000000,-20.433687,-22.646122,0.101855,0.011408,0.005753,0.002409,13.132032,-5.460676,112.190703,-0.000381,-5.261377,-23.349155,-21.228891,-5.900604,0.038309,-0.100229,554.000000,555.000000,1063.000000,212.000000,10.344079,-4.652885,0.001756,0.008554,-0.067261,9.915731,0.096215,-2.787929,0.807899,-13.751082,0.188609,0.025780,0.028341,-0.593042,-0.676458,0.328311,0.073914,-0.086923,0.037996,0.054822,-0.067788,-0.071090,0.129731,0.127046,0.000642,0.000644,-0.164407,0.010470,-0.494697,-0.090348,0.052919,-0.017806,1.000000,0.000000,
556.500000,-20.438405,-22.641927,0.101856,0.011294,0.005479,0.002334,13.133754,-5.456637,112.173207,-0.000293,-5.125677,-23.456748,-21.273222,-5.825605,0.033913,-0.090051,555.000000,556.000000,1065.000000,213.000000,10.515813,-4.635959,0.001755,0.008516,-0.067229,9.915988,0.096472,-2.617873,0.820744,-13.744549,0.065587,-0.002732,0.030096,-0.659721,-0.699381,0.322425,-0.067672,-0.387242,0.034265,0.069150,-0.073813,-0.042438,0.075182,0.073790,0.000641,0.000643,-0.195247,-0.120359,-0.422277,-0.076972,0.011142,0.017314,1.000000,0.000000,
557.000000,-20.443123,-22.637731,0.101855,0.011186,0.005223,0.002264,13.135448,-5.452455,112.155231,0.001466,-5.125677,-23.456748,-21.273222,-5.825605,0.037784,-0.092595,555.000000,556.000000,1068.000000,213.000000,10.360245,-4.649400,0.001755,0.008516,-0.067228,9.915987,0.096472,-2.775198,0.803139,-13.748946,0.176643,-0.008984,0.048440,-0.599233,-0.702677,0.342344,-0.037991,-0.351580,0.037951,0.011038,-0.049722,-0.061791,0.129731,0.127045,0.000641,0.000643,-0.195247,-0.120359,-0.422277,-0.076972,0.011142,0.017314,1.000000,0.000000,
