Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,p,q,r,Roll ,Pitch,Yaw  ,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Nav Roll,Nav Pitch,Nav Roll Rate,Nav Pitch Rate,Nav Yaw Rate,Roll Error,Pitch Error,Yaw Error,velLL X Error,velLL Y Error,velLL Z Error,Alt Error (m),Ctrl PMW [0],Ctrl PMW [1],Ctrl PMW [2],Ctrl PMW [3],Ctrl rollCmd,Ctrl pitchCmd,Ctrl yawRateCmd,Ctrl VLLzCmd,Ctrl hCmd,
5.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002945,0.001365,0.001218,0.002801,-2.763916,-0.371275,-0.109940,0.131920,0.129043,-2.763916,-0.371275,-81.010333,0.001365,0.001218,0.002801,0.001759,1100.000000,1100.000000,1100.000000,1100.000000,-0.002018,0.034496,0.000000,-0.000000,0.000000,
6.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.004338,0.002589,0.002050,0.003590,-2.761696,-0.374053,-0.109940,0.131920,0.129043,-2.761696,-0.374053,-81.012589,0.002589,0.002050,0.003591,0.003152,1100.000000,1100.000000,1100.000000,1100.000000,-0.014176,0.052397,0.000000,-0.000000,0.000000,
6.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002672,0.001906,0.001655,0.002182,-2.781289,-0.375904,-0.109967,0.131959,0.129091,-2.781289,-0.375904,-81.013453,0.001906,0.001655,0.002183,0.001487,1100.000000,1100.000000,1100.000000,1100.000000,-0.008374,0.042391,0.000000,-0.000000,0.000000,
7.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.003703,0.003333,0.002675,0.002759,-2.779082,-0.378662,-0.109967,0.131959,0.129091,-2.779082,-0.378662,-81.015685,0.003333,0.002675,0.002760,0.002518,1100.000000,1100.000000,1100.000000,1100.000000,-0.023298,0.063268,0.000000,-0.000000,0.000000,
7.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002525,0.002360,0.002046,0.001770,-2.792210,-0.379056,-0.110016,0.132025,0.129148,-2.792210,-0.379056,-81.016281,0.002360,0.002046,0.001770,0.001340,1100.000000,1100.000000,1100.000000,1100.000000,-0.014072,0.049002,0.000000,-0.000000,0.000000,
8.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.003318,0.003939,0.003215,0.002219,-2.790028,-0.381780,-0.110016,0.132025,0.129148,-2.790028,-0.381780,-81.018485,0.003939,0.003215,0.002220,0.002133,1100.000000,1100.000000,1100.000000,1100.000000,-0.031175,0.072131,0.000000,-0.000000,0.000000,
8.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002444,0.002696,0.002355,0.001479,-2.799739,-0.381031,-0.110086,0.132119,0.129199,-2.799739,-0.381031,-81.019236,0.002696,0.002355,0.001480,0.001259,1100.000000,1100.000000,1100.000000,1100.000000,-0.018569,0.053912,0.000000,-0.000000,0.000000,
9.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.003071,0.004379,0.003629,0.001845,-2.797592,-0.383707,-0.110086,0.132119,0.129199,-2.797592,-0.383707,-81.021417,0.004379,0.003629,0.001845,0.001886,1100.000000,1100.000000,1100.000000,1100.000000,-0.037229,0.078563,0.000000,-0.000000,0.000000,
9.500000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,81.000000,-0.002393,0.002920,0.002574,0.001268,-2.805313,-0.382095,-0.110175,0.132234,0.129251,-2.805313,-0.382095,-81.022086,0.002920,0.002574,0.001268,0.001208,1100.000000,1100.000000,1100.000000,1100.000000,-0.021769,0.057181,0.000000,-0.000000,0.000000,
10.000000,0.098815,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,81.000000,-0.002899,0.004664,0.003916,0.001575,-2.803210,-0.384712,-0.110175,0.132234,0.129251,-2.803210,-0.384712,-81.024243,0.004664,0.003916,0.001575,0.001714,1100.000000,1100.000000,1100.000000,1100.000000,-0.041423,0.082722,0.000000,-0.000000,0.000000,
