Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
11.500000,2.288197,-0.028565,0.098896,-1.404044,0.051133,-1.873921,-0.082183,80.900758,-0.290564,-0.018692,1.229231,0.250000,2.043378,-0.015494,0.009770,-1.502534,10.000000,0.000000,0.905345,0.000000,0.000000,0.007718,-1.491539,-0.504807,-81.296270,0.089740,0.022112,-0.098029,0.013071,-0.089127,0.743756,0.607913,-0.072395,0.008032,0.022648,-0.007122,-0.007793,-0.009451,-0.037090,4.241068,1.929856,0.189162,0.088793,0.091069,0.280942,0.128953,0.161592,0.227460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12.000000,2.988784,-0.027081,0.036574,-1.367346,0.051309,0.126889,0.023197,80.909383,-0.043947,-0.020510,1.229231,0.250000,2.794853,-0.012151,-0.074128,-1.499618,10.000000,0.000000,0.905345,0.000000,0.000000,0.007718,-1.495701,-0.509313,-81.314925,0.027604,-0.053084,-0.131892,0.014931,-0.110702,0.766303,0.593245,-0.130081,0.008032,0.022648,-0.007122,-0.007793,-0.009451,-0.037090,4.241221,1.930331,0.186178,0.099066,0.090334,0.359962,0.167687,0.198126,0.382742,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
12.500000,3.647000,-0.030247,0.092178,-1.261521,0.046563,0.896744,0.049980,80.920637,0.113900,-0.450527,3.019727,0.250000,3.613016,-0.011384,-0.036607,-1.497110,11.000000,0.000000,0.034334,0.000000,0.000000,0.007718,-2.148404,-0.527302,-81.306860,0.082816,-0.021061,-0.235012,0.018863,-0.128785,0.793610,0.548088,-0.296806,0.008234,0.034599,-0.009335,-0.007790,-0.009446,-0.037099,2.387457,1.929134,0.132928,0.107921,0.095299,0.238870,0.211551,0.192481,0.300451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13.000000,4.282754,-0.032972,0.144602,-1.215010,0.044796,0.343147,0.023386,80.930570,0.051558,-0.278018,3.019727,0.250000,4.362907,-0.011791,0.004149,-1.497572,11.000000,0.000000,0.034334,0.000000,0.000000,0.007718,-2.145240,-0.529620,-81.321885,0.135701,0.014052,-0.281929,0.021181,-0.140453,0.850444,0.547935,-0.426290,0.008234,0.034599,-0.009335,-0.007790,-0.009446,-0.037099,2.387879,1.929631,0.139437,0.119239,0.107834,0.284848,0.261611,0.232075,0.428058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13.500000,4.999063,-0.028548,0.101027,-1.448188,0.048420,-1.002879,-0.093720,80.941346,-0.060458,0.007532,3.998251,0.250000,4.724028,-0.012862,-0.063593,-1.504919,12.000000,0.000000,0.930428,0.000000,0.000000,0.007718,-0.236752,-0.481327,-81.410604,0.092447,-0.051296,-0.056666,0.015686,-0.164621,0.897159,0.613710,-0.090521,0.007539,-0.000410,-0.002879,-0.007794,-0.009463,-0.037072,1.346208,1.929447,0.124556,0.134642,0.121344,0.166016,0.318819,0.269736,0.279948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14.000000,5.728977,-0.023513,0.059751,-1.431305,0.046663,0.076652,-0.010664,80.950995,0.120286,0.311266,3.998251,0.250000,5.476204,-0.005719,-0.128978,-1.499860,12.000000,0.000000,0.930428,0.000000,0.000000,0.007718,-0.236190,-0.484822,-81.426731,0.055880,-0.115068,-0.068551,0.017795,-0.188730,0.930658,0.568146,-0.122055,0.007539,-0.000410,-0.002879,-0.007794,-0.009463,-0.037072,1.346970,1.929957,0.130183,0.146552,0.134824,0.186865,0.382939,0.326111,0.364837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14.500000,6.510124,-0.020710,0.063911,-1.578621,0.049028,0.005646,-0.042408,80.960840,-0.048076,0.004888,5.185844,0.250000,5.926145,-0.005806,-0.155494,-1.502854,13.000000,0.000000,0.870839,0.000000,0.000000,0.007718,0.674079,-0.454581,-81.478648,0.059198,-0.144954,0.075573,0.014904,-0.219405,0.946426,0.533304,0.199508,0.007057,-0.017155,0.000193,-0.007792,-0.009472,-0.037059,0.930258,1.930162,0.131084,0.161149,0.148693,0.121109,0.453762,0.388611,0.253047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
15.000000,7.308878,-0.018961,0.083898,-1.577312,0.047718,0.450006,0.010325,80.971707,-0.171433,0.313626,5.185844,0.250000,6.677696,-0.001964,-0.162210,-1.499222,13.000000,0.000000,0.870839,0.000000,0.000000,0.007718,0.673666,-0.457764,-81.494131,0.081753,-0.156527,0.077841,0.016997,-0.246108,0.980391,0.456129,0.237623,0.007057,-0.017155,0.000193,-0.007792,-0.009472,-0.037059,0.931413,1.930705,0.137240,0.173975,0.162802,0.133153,0.531277,0.459865,0.312907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
15.500000,8.067423,-0.024582,0.145115,-1.452055,0.050529,0.883317,0.109092,80.983772,-0.114067,0.069368,7.286720,0.250000,7.731476,-0.000385,-0.115978,-1.498344,14.000000,0.000000,1.339294,0.000000,0.000000,0.007718,0.038322,-0.503470,-81.485253,0.144435,-0.114380,-0.046309,0.024197,-0.261092,1.052881,0.373088,-0.070546,0.007737,-0.005479,-0.001941,-0.007798,-0.009466,-0.037068,0.754487,1.930916,0.141612,0.185683,0.176763,0.096577,0.614079,0.538071,0.232059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16.000000,8.814632,-0.031372,0.204527,-1.444018,0.047156,0.522224,0.054363,80.993624,-0.207903,0.295193,7.286720,0.250000,8.481637,-0.004541,-0.078221,-1.498167,14.000000,0.000000,1.339294,0.000000,0.000000,0.007718,0.041531,-0.505270,-81.501282,0.200894,-0.079163,-0.054093,0.026831,-0.282748,1.140632,0.325856,-0.095908,0.007737,-0.005479,-0.001941,-0.007798,-0.009466,-0.037068,0.756013,1.931474,0.147926,0.199655,0.191621,0.105938,0.703336,0.623693,0.278413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
16.500000,9.592443,-0.030944,0.232448,-1.513688,0.049411,0.232919,-0.033873,81.003172,-0.411323,0.139693,8.256691,0.250000,9.025327,-0.004863,-0.081101,-1.499895,15.000000,0.000000,0.893028,0.000000,0.000000,0.007718,0.374644,-0.462797,-81.530224,0.228511,-0.086728,0.013635,0.026081,-0.313549,1.233041,0.284515,0.109682,0.007002,-0.011536,-0.000833,-0.007795,-0.009468,-0.037064,0.672888,1.931481,0.153568,0.214957,0.206848,0.082949,0.799706,0.716857,0.216933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17.000000,10.379644,-0.029719,0.256036,-1.509667,0.048156,0.367572,0.019589,81.013967,-0.201841,-0.122407,8.256691,0.250000,9.775986,-0.000605,-0.081481,-1.498275,15.000000,0.000000,0.893028,0.000000,0.000000,0.007718,0.374691,-0.465788,-81.545889,0.255663,-0.092044,0.011175,0.029114,-0.337517,1.353969,0.238998,0.115645,0.007002,-0.011536,-0.000833,-0.007795,-0.009468,-0.037064,0.674639,1.932069,0.159434,0.229832,0.222476,0.090297,0.903471,0.817661,0.255401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
