Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
282.000000,138.529647,-0.896221,0.136820,0.012093,14.470178,-1.498456,0.470647,48.764047,-0.651823,-0.399990,115.328758,0.250000,115.348972,-0.995286,-0.007503,-0.000081,280.000000,0.000000,0.004650,0.000000,1.161123,0.008229,-0.037689,-0.009745,-5.813079,-0.029953,-0.100277,-0.013073,-0.099066,-0.144324,0.339844,0.781784,-0.051057,-0.001233,-0.001236,-0.000379,-0.004042,-0.002925,-0.031382,0.147605,0.146617,2.180389,0.113098,0.112622,0.051971,2.370524,1.460005,0.179700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
282.500000,138.589492,-0.907243,0.125787,0.036617,14.468210,-1.537562,0.538003,55.976364,-0.712152,-0.561007,115.399349,0.250000,115.354567,-0.974784,0.003556,0.018898,281.000000,0.000000,0.026358,0.000000,0.803230,0.008229,-0.015208,-0.030942,-5.722866,-0.014230,-0.066227,-0.019186,-0.067541,-0.122231,0.399395,0.788935,-0.078357,-0.001381,-0.001101,-0.000382,-0.004044,-0.002935,-0.031054,0.142798,0.141988,2.180000,0.100043,0.100432,0.049323,2.372104,1.444853,0.161361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
283.000000,138.646513,-0.930230,0.112641,0.023620,14.466483,-1.426464,0.341629,63.195630,-0.436413,-0.732359,115.399349,0.250000,115.350276,-1.004988,-0.009142,0.003843,281.000000,0.000000,0.026358,0.000000,0.803230,0.008229,-0.017554,-0.030920,-5.740307,-0.013059,-0.072815,-0.020712,-0.074759,-0.121783,0.392029,0.754140,-0.088030,-0.001381,-0.001101,-0.000382,-0.004044,-0.002935,-0.031054,0.147243,0.146416,2.183821,0.112133,0.112729,0.051968,2.383108,1.441582,0.179696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
283.500000,138.675181,-0.940106,0.110085,0.049896,14.464054,-1.397175,0.595035,70.402737,-0.447607,-0.858763,115.413873,0.250000,115.356279,-0.972878,-0.008226,0.023803,282.000000,0.000000,0.042401,0.000000,0.406865,0.008229,-0.013237,-0.059708,-5.680817,0.010827,-0.035106,-0.027598,-0.032772,-0.118311,0.448018,0.828797,-0.123870,-0.001519,-0.001059,-0.000384,-0.004041,-0.002945,-0.030832,0.142471,0.141790,2.184723,0.099151,0.100735,0.049318,2.381609,1.425093,0.161358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
284.000000,138.702081,-0.969993,0.113119,0.033001,14.469974,-1.340899,0.407845,77.620712,-0.370940,-0.873413,115.413873,0.250000,115.350767,-1.006533,-0.009037,0.004674,282.000000,0.000000,0.042401,0.000000,0.406865,0.008229,-0.019004,-0.060288,-5.698202,0.014456,-0.036759,-0.029246,-0.036540,-0.122156,0.453855,0.810681,-0.137794,-0.001519,-0.001059,-0.000384,-0.004041,-0.002945,-0.030832,0.146925,0.146224,2.188546,0.111269,0.112883,0.051961,2.389909,1.420821,0.179690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
284.500000,138.717957,-0.978611,0.116845,0.033755,14.469876,-1.477048,0.417833,84.834060,-0.255288,-0.951523,115.353020,0.250000,115.350049,-0.993485,0.002655,0.003365,283.000000,0.000000,0.000069,0.000000,0.836110,0.008229,-0.019039,-0.077360,-5.685012,0.014887,-0.011437,-0.031333,-0.014874,-0.114190,0.370046,0.860906,-0.154067,-0.001578,-0.001072,-0.000384,-0.004040,-0.002949,-0.030792,0.142138,0.141567,2.189982,0.098504,0.100907,0.049311,2.385252,1.403910,0.161353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
285.000000,138.719183,-0.993339,0.115253,0.033201,14.468819,-1.419071,0.316724,92.051121,-0.103376,-0.990091,115.353020,0.250000,115.349325,-1.009795,-0.005777,0.001153,283.000000,0.000000,0.000069,0.000000,0.836110,0.008229,-0.026582,-0.075549,-5.702307,0.021033,-0.011477,-0.032946,-0.016456,-0.121030,0.378611,0.854884,-0.169862,-0.001578,-0.001072,-0.000384,-0.004040,-0.002949,-0.030792,0.146603,0.146009,2.193816,0.110710,0.112875,0.051953,2.390446,1.399258,0.179683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
285.500000,138.741680,-0.995851,0.121418,-0.013260,14.462595,-1.353005,0.260546,99.267018,0.082225,-0.913109,115.222251,0.250000,115.337988,-1.006541,-0.006144,-0.039013,284.000000,0.000000,0.168046,0.000000,0.416123,0.008229,-0.028787,-0.078434,-5.690809,0.028216,-0.001916,-0.025267,-0.010690,-0.127562,0.440839,0.839680,-0.138665,-0.001632,-0.001044,-0.000381,-0.004040,-0.002951,-0.030681,0.141790,0.141306,2.195185,0.098249,0.100810,0.049305,2.383547,1.382491,0.161347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
286.000000,138.725141,-0.996677,0.130326,0.020435,14.469289,-1.368079,0.230383,106.481489,0.368724,-0.918558,115.222251,0.250000,115.346909,-1.010322,-0.005004,-0.005894,284.000000,0.000000,0.168046,0.000000,0.416123,0.008229,-0.035656,-0.074680,-5.708077,0.035858,0.001030,-0.027004,-0.013645,-0.135330,0.456569,0.839100,-0.151442,-0.001632,-0.001044,-0.000381,-0.004040,-0.002951,-0.030681,0.146267,0.145754,2.199024,0.110440,0.112563,0.051944,2.385574,1.378134,0.179673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
286.500000,138.791965,-1.011644,0.145269,-0.103706,14.463223,-0.975731,1.122857,113.680786,0.296130,-0.984080,114.993401,0.250000,115.320647,-0.931722,-0.031960,-0.109118,285.000000,0.000000,1.304920,0.000000,4.835140,0.008229,-0.070520,-0.142131,-5.633575,0.045746,0.107309,-0.002457,0.079922,-0.177229,0.344422,1.041416,-0.032010,-0.001872,-0.001222,-0.000370,-0.004024,-0.002961,-0.030460,0.141411,0.140970,2.200765,0.098335,0.100382,0.049298,2.375788,1.361736,0.161340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
