Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
50.000000,70.601007,0.033454,0.972602,-1.493282,0.051828,0.009460,-0.110774,78.902141,-1.022428,0.316610,57.434892,0.250000,58.650097,0.004787,0.994103,-1.497713,48.000000,28.000000,0.533290,1.401316,0.005858,0.720606,0.061553,-0.277859,-0.025484,-0.019104,-0.004659,-0.028667,0.021501,1.202434,-0.289344,0.118192,-0.001444,-0.011821,-0.000491,-0.010598,-0.007419,-0.036944,0.442567,1.538782,0.481903,0.159367,0.156097,0.054531,1.936445,0.495531,0.183725,-0.239696,-0.277422,-5.456049,0.023197,-0.067339,-0.039861,
50.500000,71.461481,0.035644,0.984287,-1.478643,0.050913,0.416045,0.028892,78.913055,-0.845401,-0.809003,58.955557,0.250000,59.455029,0.007297,0.975257,-1.497430,49.000000,29.000000,0.297792,8.348386,0.005858,0.686504,0.050950,-0.290751,0.003928,-0.024647,-0.018934,-0.028347,-0.009030,1.287575,-0.387661,0.055176,-0.001442,-0.011622,-0.000527,-0.010249,-0.007514,-0.036927,0.440142,1.537413,0.486453,0.147324,0.143211,0.051360,1.947054,0.436981,0.163986,0.102558,-0.433027,-12.863464,0.322266,0.437576,-0.245069,
51.000000,72.322632,0.032882,1.001786,-1.478005,0.050693,0.167572,0.026175,78.923891,-0.866429,0.513431,58.955557,0.250000,60.204888,0.004579,0.996169,-1.497514,49.000000,29.000000,0.297792,8.348386,0.005858,0.690784,0.049246,-0.306783,0.001012,-0.023638,-0.019789,-0.028303,-0.005618,1.289068,-0.399571,0.045252,-0.001442,-0.011622,-0.000527,-0.010249,-0.007514,-0.036927,0.441759,1.538116,0.491040,0.159673,0.155944,0.054432,1.977892,0.495315,0.183513,0.102558,-0.433027,-12.863464,0.322266,0.437576,-0.245069,
51.500000,73.194606,0.047137,1.013930,-1.503368,0.049783,0.331122,-0.330537,78.932498,-0.802340,0.251464,60.085300,0.250000,60.855848,-0.015664,0.982063,-1.498620,50.000000,30.000000,0.664032,2.604737,0.005858,0.701145,0.038087,-0.295488,0.019876,-0.062201,0.004522,-0.062801,-0.031868,1.382536,-0.583310,0.143525,-0.000890,-0.012067,-0.000460,-0.009984,-0.007250,-0.036934,0.439548,1.536814,0.495716,0.147666,0.143167,0.051278,1.987069,0.436855,0.163841,0.233428,-0.449108,4.838262,0.016976,0.008474,0.570869,
52.000000,74.070577,0.066984,1.025675,-1.502243,0.049920,0.143515,-0.112980,78.943610,-0.920060,0.112278,60.085300,0.250000,61.606070,0.003155,0.996155,-1.498024,50.000000,30.000000,0.664032,2.604737,0.005858,0.705453,0.035954,-0.308593,0.017755,-0.062846,0.004010,-0.063829,-0.029520,1.392195,-0.614415,0.145414,-0.000890,-0.012067,-0.000460,-0.009984,-0.007250,-0.036934,0.441109,1.537527,0.500236,0.159991,0.155885,0.054333,2.018397,0.495157,0.183319,0.233428,-0.449108,4.838262,0.016976,0.008474,0.570869,
52.500000,74.936301,0.041388,1.026892,-1.474440,0.048522,0.116776,0.623243,78.955624,-0.988393,0.231526,62.067171,0.250000,62.468952,0.036987,0.995825,-1.496955,51.000000,31.000000,1.091080,5.275861,0.005858,0.675718,0.009280,-0.364110,0.030908,-0.005027,-0.022634,-0.004401,-0.031067,1.383693,-0.383892,0.024061,-0.001117,-0.011673,-0.000528,-0.009836,-0.007739,-0.036912,0.438709,1.536272,0.504652,0.147735,0.143022,0.051198,2.026058,0.436709,0.163705,-0.314312,0.709381,-8.512404,0.576135,-0.071061,-0.152339,
53.000000,75.799786,0.003447,1.026355,-1.474005,0.045807,0.081768,0.218437,78.965581,-0.982082,0.086869,62.067171,0.250000,63.218710,-0.000021,0.996976,-1.497360,51.000000,31.000000,1.091080,5.275861,0.005858,0.678527,0.009131,-0.384747,0.029437,-0.002811,-0.023525,-0.003469,-0.029379,1.399018,-0.385674,0.012272,-0.001117,-0.011673,-0.000528,-0.009836,-0.007739,-0.036912,0.440390,1.536942,0.509304,0.160040,0.155724,0.054243,2.057550,0.494948,0.183138,-0.314312,0.709381,-8.512404,0.576135,-0.071061,-0.152339,
53.500000,76.663722,0.019740,1.022737,-1.475166,0.052396,0.046159,-0.492511,78.975075,-0.997491,0.240704,63.312083,0.250000,63.959923,-0.029272,0.997425,-1.497936,52.000000,32.000000,0.017701,1.191704,0.005858,0.682928,0.041121,-0.392685,0.016833,-0.045480,-0.022953,-0.049012,-0.025313,1.364379,-0.573162,0.009375,-0.001154,-0.011677,-0.000524,-0.009852,-0.007352,-0.036927,0.438301,1.535811,0.514054,0.147967,0.142953,0.051127,2.066694,0.436680,0.163579,-0.130188,-0.460420,4.541538,0.007360,-0.044706,-0.101998,
54.000000,77.526096,0.050021,1.018357,-1.474119,0.052372,0.061368,-0.167304,78.985962,-0.492438,0.642683,63.312083,0.250000,64.709937,0.001305,0.995219,-1.497853,52.000000,32.000000,0.017701,1.191704,0.005858,0.685329,0.039087,-0.404843,0.014896,-0.045077,-0.023816,-0.048716,-0.023138,1.372559,-0.595660,-0.002558,-0.001154,-0.011677,-0.000524,-0.009852,-0.007352,-0.036927,0.439843,1.536519,0.518533,0.160249,0.155640,0.054162,2.098506,0.494880,0.182971,-0.130188,-0.460420,4.541538,0.007360,-0.044706,-0.101998,
54.500000,78.386364,0.074414,0.975213,-1.475318,0.048351,-0.794314,-0.418431,78.997962,-0.941413,0.327753,64.762243,0.250000,65.441818,-0.014566,1.037459,-1.498125,53.000000,33.000000,0.070148,2.334032,0.005858,0.735919,0.090286,-0.419131,-0.075260,-0.067629,-0.023040,-0.088980,0.062245,1.018057,-0.715837,0.003908,-0.001653,-0.011613,-0.000521,-0.010555,-0.007022,-0.036947,0.437697,1.535453,0.523161,0.148193,0.142885,0.051063,2.108072,0.436607,0.163464,-0.877461,-0.251850,3.000009,-0.115919,-0.001180,-0.445086,
